Druck (Bar),Ohmzahl (Ohm)
46,1922
45,1914
44,1912
43,1907
42,1903
41,1900
40,1895
39,1890
38,1885
37,1880
36,1875
35,1870
34,1865
33,1859
32,1853
31,1845
30,1840
29,1833
28,1827
27,1820
26,1813
25,1806
24,1798
23,1790
22,1782
21,1774
20,1765
19,1757
18,1747
17,1736
16,1725
15,1714
14,1702
13,1690
12,1678
11,1662
10,1646
9.5,1636
9,1628
8.5,1619
8,1611
7.5,1600
7,1590
6.5,1578
6,1568
5.5,1554
5,1543
4.5,1525
4,1507
3.5,1490
3,1467
2.5,1440
2,1407
1.5,1364
1,1307
0.5,1210